2024-06-16 11:55:53.909164: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:53.994286: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:54.076767: Error getting geo info for IP 104.18.3.161: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:54.162945: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:54.256799: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:54.329216: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:54.401272: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:54.480897: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:54.562225: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:54.652332: Error getting geo info for IP 104.18.35.28: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:54.742047: Error getting geo info for IP 104.18.35.28: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:54.829212: Error getting geo info for IP 40.126.35.85: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:54.912858: Error getting geo info for IP 40.126.35.85: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:54.996174: Error getting geo info for IP 40.126.35.85: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:55.079976: Error getting geo info for IP 40.126.35.85: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:55.168517: Error getting geo info for IP 40.126.35.85: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:55.252077: Error getting geo info for IP 40.126.35.85: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
